,date,open_p,high_p,low_p,close_p,prd_vlm,open_int
486,2017-11-28,6608.75,6625.0,6584.25,6615.75,307329,290858
487,2017-11-27,6609.75,6620.0,6590.25,6608.75,204123,289778
488,2017-11-24,6583.75,6611.5,6571.25,6609.0,118443,290124
489,2017-11-22,6576.75,6590.75,6570.75,6585.0,191140,292729
490,2017-11-21,6511.25,6580.75,6506.75,6575.0,216030,291741
491,2017-11-20,6507.5,6524.75,6486.75,6511.5,203721,289137
492,2017-11-17,6538.25,6547.25,6504.0,6508.75,275846,288828
493,2017-11-16,6460.0,6554.0,6456.25,6536.5,339694,292214
494,2017-11-15,6489.0,6490.25,6426.25,6461.75,399624,282754
495,2017-11-14,6506.25,6513.75,6458.25,6489.0,342800,283784
496,2017-11-13,6508.0,6520.5,6476.5,6507.5,229366,279403
497,2017-11-10,6508.25,6516.5,6476.5,6504.75,266728,278891
498,2017-11-09,6537.75,6547.0,6440.25,6510.0,550267,281665
499,2017-11-08,6506.0,6541.0,6497.0,6537.0,218248,275482
500,2017-11-07,6507.0,6527.0,6491.75,6511.5,284157,273642
501,2017-11-06,6480.75,6513.0,6463.5,6509.0,218392,272003
502,2017-11-03,6448.0,6492.25,6431.5,6486.0,301691,267910
503,2017-11-02,6425.5,6458.5,6388.0,6431.25,356528,272517
504,2017-11-01,6445.25,6480.0,6419.0,6436.25,346061,269121
505,2017-10-31,6417.25,6454.25,6414.75,6445.25,239132,270162
506,2017-10-30,6405.0,6447.0,6397.75,6419.75,360344,269811
507,2017-10-27,6287.5,6421.25,6274.25,6410.75,435844,284553
508,2017-10-26,6260.5,6291.75,6230.5,6280.25,320283,281049
509,2017-10-25,6269.0,6283.0,6206.5,6260.0,436671,281153
510,2017-10-24,6260.25,6288.0,6252.5,6275.0,235526,278150
511,2017-10-23,6305.0,6323.5,6256.0,6260.25,247882,276392
512,2017-10-20,6293.25,6325.0,6286.0,6306.5,222217,275492
513,2017-10-19,6316.75,6317.25,6246.75,6293.25,332212,278665
514,2017-10-18,6317.75,6328.25,6303.5,6314.75,180414,278878
515,2017-10-17,6315.25,6321.0,6300.5,6319.25,154430,277269
516,2017-10-16,6297.0,6317.0,6293.5,6315.75,167591,276313
517,2017-10-13,6268.5,6299.5,6264.0,6295.25,178530,278508
518,2017-10-12,6279.0,6292.5,6262.0,6270.25,200082,279668
519,2017-10-11,6260.0,6281.5,6248.75,6278.0,180901,280723
520,2017-10-10,6257.75,6284.0,6234.5,6260.75,238961,281132
521,2017-10-09,6258.0,6279.5,6250.25,6260.0,155751,279021
522,2017-10-06,6257.75,6267.0,6233.0,6259.75,232608,278318
523,2017-10-05,6200.5,6263.5,6196.5,6261.25,254723,278013
524,2017-10-04,6194.5,6211.0,6175.0,6199.5,236714,273109
525,2017-10-03,6181.0,6200.25,6174.25,6193.5,207901,268776
526,2017-10-02,6179.5,6205.25,6154.0,6176.0,269518,267237
527,2017-09-29,6134.75,6181.0,6128.5,6178.0,275661,265128
528,2017-09-28,6131.5,6143.75,6106.75,6134.0,268097,262084
529,2017-09-27,6085.25,6158.5,6082.0,6136.5,349282,263878
530,2017-09-26,6074.25,6108.0,6058.25,6088.0,343472,267060
531,2017-09-25,6126.25,6149.75,6037.5,6072.0,447828,273006
532,2017-09-22,6139.75,6141.0,6106.5,6131.25,272649,263136
533,2017-09-21,6171.5,6175.75,6114.75,6140.75,343404,265850
534,2017-09-20,6192.5,6196.0,6126.0,6174.0,347504,265749
535,2017-09-19,6185.25,6200.25,6170.5,6192.5,212483,264264
536,2017-09-18,6194.75,6213.75,6162.75,6182.25,235721,272263
537,2017-09-15,6167.25,6211.25,6143.5,6190.75,268013,271588
538,2017-09-14,6202.25,6204.75,6164.25,6166.25,283913,276501
539,2017-09-13,6202.25,6207.5,6179.0,6204.5,229042,253328
540,2017-09-12,6185.5,6207.75,6170.75,6200.0,296518,228552
541,2017-09-11,6139.25,6195.75,6137.5,6186.25,261152,183300
542,2017-09-08,6172.75,6175.0,6110.75,6120.0,243700,114235
543,2017-09-07,6151.5,6184.25,6135.5,6173.0,77080,58125
544,2017-09-06,6146.25,6168.5,6112.0,6157.75,335781,269340
545,2017-09-05,6159.25,6187.5,6092.25,6142.0,485650,274638
546,2017-09-01,6196.75,6222.5,6176.0,6191.0,229855,290210
547,2017-08-31,6139.0,6200.75,6135.25,6193.5,273833,293170
548,2017-08-30,6072.5,6146.75,6065.25,6137.75,273971,292978
549,2017-08-29,6022.75,6078.25,5980.0,6072.5,334338,287457
550,2017-08-28,6022.5,6058.75,6004.0,6047.5,216424,282261
551,2017-08-25,6048.0,6076.75,6019.25,6027.75,300167,280801
552,2017-08-24,6048.5,6077.0,6006.0,6043.25,372774,283471
553,2017-08-23,6081.0,6086.75,6044.25,6050.75,301682,282443
554,2017-08-22,5998.0,6085.0,5997.0,6081.25,307895,290847
555,2017-08-21,6007.75,6019.5,5955.0,5996.75,360383,290439
556,2017-08-18,5995.0,6037.75,5975.25,6004.0,443313,292413
557,2017-08-17,6122.75,6126.5,5989.25,6003.0,511900,294534
558,2017-08-16,6118.0,6152.25,6104.75,6126.25,293910,298233
559,2017-08-15,6116.25,6147.75,6098.25,6114.75,249827,300187
560,2017-08-14,6040.0,6119.5,6040.0,6112.75,261541,300365
561,2017-08-11,5971.75,6048.5,5963.75,6041.0,394754,297376
562,2017-08-10,6125.25,6125.75,5970.0,5992.5,548167,299717
563,2017-08-09,6116.0,6127.25,6064.5,6125.25,377648,300070
564,2017-08-08,6137.75,6175.5,6110.25,6120.75,305079,297882
565,2017-08-07,6102.75,6140.5,6100.75,6136.75,165201,300435
566,2017-08-04,6091.75,6114.75,6077.0,6100.75,256730,297144
